Chemical Name,Chemical ID,CAS RN,Disease Name,Disease ID,Direct Evidence,Inference Network,Inference Score,Reference Count
dichloroacetonitrile,C051716,3018-12-0,Alzheimer Disease,MESH:D000544,,HMOX1,3.52,1
farglitazar,C422415,,Alzheimer Disease,MESH:D000544,,PPARG,3.52,3
FR900359,C000607068,,Alzheimer Disease,MESH:D000544,,ABCA7|BIN1|CCDC6|CD2AP|ENO1|GSK3B|IGF1R|IGF2R|MAPT|NCK2|NECTIN2|PGRMC1|PLCG2|PSEN1|PSEN2|SPRED2|TFAM|TPI1,3.52,34
imidazolidinyl urea,C006048,39236-46-9,Alzheimer Disease,MESH:D000544,,VEGFA,3.52,1
methylarsine,C543395,,Alzheimer Disease,MESH:D000544,,HMOX1,3.52,1
perfluoropentanesulfonic acid,C000720116,,Alzheimer Disease,MESH:D000544,,PPARG,3.52,3
potassium perchlorate,C009006,,Alzheimer Disease,MESH:D000544,,APOE|CASP3,3.52,10
Quinpirole,D019257,85760-74-3,Alzheimer Disease,MESH:D000544,,NPY,3.52,1
Reactive Nitrogen Species,D026361,,Alzheimer Disease,MESH:D000544,,APP,3.52,37
Xamoterol,D017307,81801-12-9,Alzheimer Disease,MESH:D000544,,HMOX1,3.52,1
mono-(2-ethylhexyl)phthalate,C016599,4376-20-9,"Alzheimer Disease, Familial, 3, with Spastic Paraparesis and Apraxia",MESH:C564330,,APOE,3.52,1
mono-(2-ethylhexyl)phthalate,C016599,4376-20-9,Alzheimer disease type 2,MESH:C536595,,APOE,3.52,1
mono-(2-ethylhexyl)phthalate,C016599,4376-20-9,Alzheimer disease type 4,MESH:C536596,,APOE,3.52,1
glycoursodeoxycholic acid,C024033,64480-66-6,Alzheimer Disease,MESH:D000544,,BAX,3.51,1
hellebrigenin,C001330,465-90-7,Alzheimer Disease,MESH:D000544,,BAX,3.51,1
11-nor-delta(9)-tetrahydrocannabinol-9-carboxylic acid,C016780,64280-14-4,Alzheimer Disease,MESH:D000544,,CCDC6,3.50,1
4-chlorobiphenyl,C006983,2051-62-9,Alzheimer Disease,MESH:D000544,,SOD2,3.50,1
5-(N-methyl-N-isobutyl)amiloride,C056369,96861-65-3,Alzheimer Disease,MESH:D000544,,IL1B,3.50,1
6-(bromomethylene)tetrahydro-3-(1-naphthaleneyl)-2H-pyran-2-one,C068314,88070-98-8,Alzheimer Disease,MESH:D000544,,IL1B,3.50,1
AGK2 compound,C521855,,Alzheimer Disease,MESH:D000544,,IL1B,3.50,1
anthrax toxin,C030325,,Alzheimer Disease,MESH:D000544,,IL1B,3.50,1
Chlorquinaldol,D002750,72-80-0,Alzheimer Disease,MESH:D000544,,IL1B,3.50,1
