Chemical Name,Chemical ID,CAS RN,Disease Name,Disease ID,Direct Evidence,Inference Network,Inference Score,Reference Count
"dimethyl-4,4'-dimethoxy-5,6,5',6'-dimethylene dioxybiphenyl-2,2'-dicarboxylate",C510843,,Alzheimer Disease,MESH:D000544,,CASP3,3.40,1
DLBS 1425,C558638,,Alzheimer Disease,MESH:D000544,,BAX,3.40,1
"Elements, Radioactive",D004603,,Alzheimer Disease,MESH:D000544,,CASP3,3.40,1
"ethyl (5-(diethylglycyl)-10,11-dihydro-5H-dibenzo(b,f)azepin-3-yl)carbamate",C000611514,,Alzheimer Disease,MESH:D000544,,CASP3,3.40,1
fipexide,C038628,34161-24-5,Alzheimer Disease,MESH:D000544,,CASP3,3.40,1
fostriecin,C040313,87810-56-8,Alzheimer Disease,MESH:D000544,,CASP3,3.40,1
IC 261,C411652,,Alzheimer Disease,MESH:D000544,,CASP3,3.40,1
ICI 164384,C051781,98007-99-9,Alzheimer Disease,MESH:D000544,,ESR1,3.40,1
inuviscolide,C458886,,Alzheimer Disease,MESH:D000544,,CASP3,3.40,1
isoalantolactone,C032787,,Alzheimer Disease,MESH:D000544,,CASP3,3.40,1
