preferredName_A,preferredName_B,score
BDNF,CDK5,0.847
BDNF,HTR2A,0.89
BDNF,IGF1R,0.907
BDNF,GRIN2B,0.931
CDK5,CALM1,0.486
CDK5,SNCA,0.672
CDK5,GRIN2B,0.8
TFAM,SNCA,0.411
TFAM,SOD2,0.805
NEK1,C9orf72,0.627
HTR2A,GRIN2B,0.596
HTR2A,DAOA,0.645
HTR2A,CYP2D6,0.662
SOD2,ENO1,0.543
GRIN2B,CALM1,0.505
GRIN2B,SNCA,0.574
C9orf72,SNCA,0.668
ENO1,CALM1,0.417
CYP2D6,SNCA,0.461
CALM1,SNCA,0.973
