drug_name,protein_target,inference_score
Apigenin,CASP3,43.07
Apigenin,ESR1,43.07
Apigenin,F2,43.07
Apigenin,HMOX1,43.07
Apigenin,IL1B,43.07
Apigenin,LEP,43.07
Apigenin,NOS3,43.07
Apigenin,PPARG,43.07
Apigenin,PTK2B,43.07
Apigenin,SLC2A4,43.07
Apigenin,SOD2,43.07
Apigenin,TNF,43.07
Apigenin,VEGFA,43.07
Raloxifene,ACE,39.18
Raloxifene,ACHE,39.18
Raloxifene,APOE,39.18
Raloxifene,APP,39.18
Raloxifene,BAX,39.18
Raloxifene,BCL2,39.18
Raloxifene,CALM1,39.18
Raloxifene,CASP3,39.18
Raloxifene,CLU,39.18
Raloxifene,DHCR24,39.18
Raloxifene,EIF2S1,39.18
Raloxifene,EPHA1,39.18
Raloxifene,ESR1,39.18
Raloxifene,HMOX1,39.18
Raloxifene,IGF1,39.18
Raloxifene,IGF2,39.18
Raloxifene,IL1B,39.18
Raloxifene,MPO,39.18
Raloxifene,MTHFR,39.18
Raloxifene,NOS3,39.18
Raloxifene,PLAU,39.18
Raloxifene,PPARG,39.18
Raloxifene,PYY,39.18
Raloxifene,SLC2A4,39.18
Raloxifene,SOD2,39.18
Raloxifene,TFAM,39.18
Raloxifene,TNF,39.18
Raloxifene,VEGFA,39.18
Donepezil,ACHE,37.96
Donepezil,APP,37.96
Donepezil,BACE1,37.96
Donepezil,BAX,37.96
Donepezil,BCHE,37.96
Donepezil,BCL2,37.96
Donepezil,BDNF,37.96
Donepezil,CASP3,37.96
Donepezil,GSK3B,37.96
Donepezil,IL1B,37.96
Donepezil,MAPT,37.96
Donepezil,MPO,37.96
Donepezil,TNF,37.96
Tadalafil,APP,36.08
Tadalafil,BAX,36.08
Tadalafil,BCL2,36.08
Tadalafil,BDNF,36.08
Tadalafil,CASP3,36.08
Tadalafil,GSK3B,36.08
Tadalafil,HMOX1,36.08
Tadalafil,IL1B,36.08
Tadalafil,MAPT,36.08
Tadalafil,TNF,36.08
Tadalafil,VEGFA,36.08
Ellagic Acid,ACHE,33.61
Ellagic Acid,APP,33.61
Ellagic Acid,BAX,33.61
Ellagic Acid,BCHE,33.61
Ellagic Acid,BCL2,33.61
Ellagic Acid,CASP3,33.61
Ellagic Acid,HMOX1,33.61
Ellagic Acid,IL1B,33.61
Ellagic Acid,INPP5D,33.61
Ellagic Acid,PPARG,33.61
Ellagic Acid,SOD2,33.61
Ellagic Acid,TFAM,33.61
Ellagic Acid,TNF,33.61
Ellagic Acid,VEGFA,33.61
Deferoxamine,APP,33.06
Deferoxamine,BAX,33.06
Deferoxamine,BCL2,33.06
Deferoxamine,BDNF,33.06
Deferoxamine,CASP3,33.06
Deferoxamine,ENO1,33.06
Deferoxamine,GSK3B,33.06
Deferoxamine,HMOX1,33.06
Deferoxamine,IL1B,33.06
Deferoxamine,LEP,33.06
Deferoxamine,PLAU,33.06
Deferoxamine,SLC2A4,33.06
Deferoxamine,SOD2,33.06
Deferoxamine,TF,33.06
Deferoxamine,TNF,33.06
Deferoxamine,TPI1,33.06
Deferoxamine,VEGFA,33.06
Resveratrol,ACE,32.31
Resveratrol,ACHE,32.31
Resveratrol,ADAM10,32.31
Resveratrol,AMFR,32.31
Resveratrol,APOC1,32.31
Resveratrol,APOE,32.31
Resveratrol,APP,32.31
Resveratrol,ARC,32.31
Resveratrol,ATP5F1A,32.31
Resveratrol,BAX,32.31
Resveratrol,BCHE,32.31
Resveratrol,BCL2,32.31
Resveratrol,BDNF,32.31
Resveratrol,CASP3,32.31
Resveratrol,CD2AP,32.31
Resveratrol,CHRNA7,32.31
Resveratrol,CLU,32.31
Resveratrol,CST3,32.31
